"Site No." "Fatal" "Serious" "Slight" "Fatal" "Serious" "Slight" "Sp.Lim"  "Av.Sp" "85%" "%ov.lim" "%15.ov.lim"  "Flow" "Av.Sp" "85%" "%ov.lim" "%15ovlim" "Flow" "Road.type" "Road.Class"
502 1 1 18 0 0 0 60 55 63 20 9 8538 53.8 64.4 25.4 1.4 10912.8 1 3
504 0 0 4 0 0 0 60 51 60 9 1 2614 50 59.3 13 0.5 3117 1 1
505 0 1 8 0 0 5 60 60 67 31 4 2967 44 52.4 2.4 0.2 2785.6 1 1
506 1 0 2 0 0 0 60 38 46 1 0 3631 41.7 49.3 1 0 2452.7 1 1
507 0 1 16 0 0 8 70 57 67 7 1 7619 59.8 71.5 23.8 2.8 7157.75 1 3
508 0 0 1 0 0 1 60 55 63 20 1 5109 53.8 63.5 18.5 2 5199.65 1 1
510 0 1 2 0 0 1 70 65 76 57 8 13236 65.3 76.3 41 6.5 11387.75 1 2
512 0 0 4 0 0 0 30 32 39 63 2 2623 31 36.5 45.7 1.8 2538.75 1 1
513 0 0 7 0 0 6 30 28 33 19 1 12500 26.8 30.8 19.4 0.8 12451.6 1 1
514 0 0 6 0 0 9 30 41 38 45 1 5700 28 33.8 33.8 1 5367.8 3 1
515 0 3 5 0 0 4 30 31 36 44 1 8400 26.7 31.3 18.7 1 8274.2 1 1
517 0 2 3 0 1 1 30 35 41 76 10 6200 33.8 40 72.2 5 6321.8 1 1
518 0 3 9 0 0 2 70 62 72 19 0 16500 63.4 74.6 21 2.2 17327.3 1 2
519 0 1 2 0 0 1 30 38 43 22 1 17200 34.7 40.8 49.3 4.2 18362 1 2
520 0 1 3 0 0 5 60 48 58 8 1 9400 41.4 49 6.6 0.6 8148.6 1 1
521 0 0 8 0 0 3 30 42 50 46 2 20646 30.2 37.5 28.8 1.7 29099 1 2
523 0 1 5 0 0 8 30 30 36 45 2 8377 29.2 33.8 33.3 1 8474 1 1
524 0 1 10 0 1 9 40 39 46 32 1 5695 37.4 42.4 23.6 1 6191.6 3 1
526 1 2 18 0 3 10 30 35 41 84 3 5234 28 33.5 31.7 3.2 5411.75 1 1
529 0 1 0 0 0 2 60 44 53 31 1 3616 43 51.2 4.2 1 2788.6 3 1
530 1 1 1 0 1 5 40 40 47 36 2 4169 37.6 43 27.8 1 4351.7 1 1
